,Unnamed: 0,정류소명,정류소번호,권역,행정동명,엑스좌표,경도,와이좌표,위도,노선번호,totalPsocAvg,정상노선번호,평일배차간격(분),토요일배차간격(분),공휴일배차간격(분),일평균승차건수,평균배차간격,대기시간,버스정류소 이용량,scaled 버스정류소 이용량,버스정류소 번호 별 총 이용량,scaled 버스정류소 번호 별 총 이용량,ped_count_within_500m
1666,1666,동아정밀,42037,서구,가좌1동,170989.7888,126.6727688,442926.3958,37.48807863,7,245.23076923076923,7,17-23,21-29,24-33,245.23076923076923,20.0,10.0,2452.3076923076924,0.092381697528181,2884.3910256410254,0.1466835528867938,45351
1667,1667,동아풍림아파트,37037,미추홀구,학익1동,169818.8637,126.6597386,437823.9322,37.44206846,516,361.0,516,13-16,14-18,19-22,361.0,14.5,7.25,2617.25,0.0985952939812802,6183.831374643875,0.3144741293472871,237871
1668,1668,동암국민주택,40014,부평구,십정2동,173036.9747,126.6959812,441152.6531,37.47215954,564,462.0,564,9-12,11-15,14-19,462.0,10.5,5.25,2425.5,0.0913718160479874,2425.5,0.1233469922642856,197651
1669,1669,동암국민주택,40015,부평구,십정1동,173030.4239,126.6959069,441159.1081,37.4722175,564,186.03846153846155,564,9-12,11-15,14-19,186.03846153846155,10.5,5.25,976.7019230769232,0.0367936625228201,976.7019230769232,0.0496694473511779,189621
1670,1670,동암남부역,40797,부평구,십정2동,173680.9781,126.7032687,440948.3791,37.47033765,533,1354.8461538461538,533,5-6,8-9,8-9,1354.8461538461538,5.5,2.75,3725.826923076923,0.1403568634269321,4377.801923076923,0.2226298494909685,497545
1671,1671,동암남부역,40862,부평구,십정2동,173699.9445,126.7034788,441067.0935,37.47140779,539,416.4230769230769,539,11-17,15-22,15-22,416.4230769230769,14.0,7.0,2914.961538461538,0.1098104842215074,3114.3846153846152,0.158379705240922,448743
1672,1672,동암남부역,40034,부평구,십정2동,173736.1537,126.70389,441014.8423,37.47093805,538,829.6538461538462,538,8-10,10-14,12-16,829.6538461538462,9.0,4.5,3733.442307692308,0.1406437451099713,3420.1826923076924,0.1739308382150157,490801
1673,1673,동암남부역,40861,부평구,십정2동,173683.8351,126.7032967,441068.2587,37.47141783,568,203.73076923076923,568,10-19,10-19,10-19,203.73076923076923,14.5,7.25,1477.048076923077,0.0556423686574516,1477.048076923077,0.0751141775791419,442416
1674,1674,동암북부역,40013,부평구,십정2동,173509.8458,126.7013337,440959.5979,37.47043383,103,1120.3076923076924,103,9-12,12-15,13-17,1120.3076923076924,10.5,5.25,5881.615384615385,0.2215682865339476,4375.76282051282,0.2225261524519248,389247
1675,1675,동암북부역,40035,부평구,십정2동,173464.5606,126.7008159,441123.7189,37.47191124,103,1014.8846153846154,103,9-12,12-15,13-17,1014.8846153846154,10.5,5.25,5328.144230769231,0.2007182908806398,3730.0256410256407,0.1896876701254078,358009
1676,1676,동암북부역광장,40800,부평구,십정2동,173547.3669,126.7017545,441052.7309,37.47127402,530,79.07692307692308,530,30-40,30-40,30-40,79.07692307692308,35.0,17.5,1383.8461538461538,0.0521313280593468,3022.973557692308,0.1537310641252579,377985
1677,1677,동암사거리,40001,남동구,십정2동,173460.5258,126.7007857,440696.7193,37.4680639,303,87.88461538461539,303,14-17,18-22,20-25,87.88461538461539,15.5,7.75,681.1057692307693,0.0256581616389927,2571.003205128205,0.1307464491669356,452806
1678,1678,동암사거리,40003,부평구,십정2동,173491.3484,126.7011332,440723.1142,37.4683026,303,41.38461538461539,303,14-17,18-22,20-25,41.38461538461539,15.5,7.75,320.7307692307692,0.0120823553275957,4214.621153846154,0.2143314132592687,458913
1679,1679,동양도서관,41522,계양구,계양1동,178527.761,126.7577596,451139.419,37.56228328,76,125.0,76,20-30,25-35,33-40,125.0,25.0,12.5,1562.5,0.0588614564316555,2586.25,0.131521813540923,60465
1680,1680,동양도서관(휴먼빌아파트),41523,계양구,계양3동,178482.7118,126.7572489,451167.8881,37.56253873,76,109.57692307692308,76,20-30,25-35,33-40,109.57692307692308,25.0,12.5,1369.7115384615386,0.0515988582688574,2351.4903846153848,0.1195832885098725,60884
1681,1681,동양엔파트4단지,42837,서구,청라2동,168450.2453,126.6438554,447559.2274,37.52973612,급행91,177.5,급행91,28-32,32-40,32-40,177.5,30.0,15.0,2662.5,0.100299921759541,2760.2462606837603,0.140370263518484,61467
1682,1682,동양엔파트4단지,42820,서구,청라2동,168459.7307,126.643961,447600.3926,37.53010733,급행91,211.8846153846154,급행91,28-32,32-40,32-40,211.8846153846154,30.0,15.0,3178.269230769231,0.1197296357471963,2974.175154320988,0.1512494577417693,69046
1683,1683,동양엔파트5단지,42986,서구,청라3동,166603.8506,126.6229899,447054.2611,37.5251214,70,16.115384615384617,70,30-37,37-47,42-54,16.115384615384617,33.5,16.75,269.9326923076923,0.0101687241009591,1037.181691765025,0.0527451008496389,21484
1684,1684,동양자이입구,41554,계양구,계양3동,178342.8909,126.7556643,451237.6004,37.56316354,76,122.46153846153848,76,20-30,25-35,33-40,122.46153846153848,25.0,12.5,1530.769230769231,0.0576661160856588,2050.3365384615386,0.1042683344253958,53880
1685,1685,동양자이입구,41555,계양구,계양1동,178382.2453,126.7561081,451293.5525,37.56366859,76,124.07692307692308,76,20-30,25-35,33-40,124.07692307692308,25.0,12.5,1550.9615384615386,0.0584267872149294,2088.980769230769,0.1062335579396203,34729
1686,1686,동양장사거리,37301,미추홀구,주안8동,172682.8569,126.6920675,438744.646,37.45045318,45,2388.8076923076924,45,7-9,9-10,9-10,2388.8076923076924,8.0,4.0,9555.23076923077,0.3599582717551943,7537.615384615385,0.3833198047979032,381673
